;----------------
; voisinages pour les armees
;----------------

ARMEEVOISIN alb gre 
ARMEEVOISIN alb ser 
ARMEEVOISIN alb tri 
ARMEEVOISIN ank ARM
ARMEEVOISIN ank con 
ARMEEVOISIN ank smy 
ARMEEVOISIN apu nap 
ARMEEVOISIN apu rom 
ARMEEVOISIN apu ven 
ARMEEVOISIN ARM ank 
ARMEEVOISIN ARM syr 
ARMEEVOISIN ARM sev 
ARMEEVOISIN ARM smy 
ARMEEVOISIN bel bur 
ARMEEVOISIN bel hol 
ARMEEVOISIN bel pic 
ARMEEVOISIN bel ruh 
ARMEEVOISIN ber kie 
ARMEEVOISIN ber mun 
ARMEEVOISIN ber pru 
ARMEEVOISIN ber sil 
ARMEEVOISIN boh gal 
ARMEEVOISIN boh mun 
ARMEEVOISIN boh sil 
ARMEEVOISIN boh TYR 
ARMEEVOISIN boh vie 
ARMEEVOISIN bur bel 
ARMEEVOISIN bur gas 
ARMEEVOISIN bur mar 
ARMEEVOISIN bur mun 
ARMEEVOISIN bur par 
ARMEEVOISIN bur pic 
ARMEEVOISIN bur ruh 
ARMEEVOISIN bre gas 
ARMEEVOISIN bre par 
ARMEEVOISIN bre pic 
ARMEEVOISIN bud gal 
ARMEEVOISIN bud rum 
ARMEEVOISIN bud ser 
ARMEEVOISIN bud tri 
ARMEEVOISIN bud vie 
ARMEEVOISIN bul con 
ARMEEVOISIN bul gre 
ARMEEVOISIN bul rum 
ARMEEVOISIN bul ser 
ARMEEVOISIN con ank
ARMEEVOISIN con bul 
ARMEEVOISIN con smy
ARMEEVOISIN cly edi 
ARMEEVOISIN cly lvp 
ARMEEVOISIN den kie 
ARMEEVOISIN den swe 
ARMEEVOISIN edi cly 
ARMEEVOISIN edi lvp 
ARMEEVOISIN edi yor 
ARMEEVOISIN spa gas 
ARMEEVOISIN spa mar 
ARMEEVOISIN spa por 
ARMEEVOISIN fin nwy 
ARMEEVOISIN fin stp 
ARMEEVOISIN fin swe 
ARMEEVOISIN gal boh 
ARMEEVOISIN gal bud 
ARMEEVOISIN gal rum 
ARMEEVOISIN gal sil 
ARMEEVOISIN gal ukr 
ARMEEVOISIN gal war 
ARMEEVOISIN gal vie 
ARMEEVOISIN gas bur 
ARMEEVOISIN gas bre 
ARMEEVOISIN gas spa 
ARMEEVOISIN gas mar 
ARMEEVOISIN gas par 
ARMEEVOISIN gre alb 
ARMEEVOISIN gre bul 
ARMEEVOISIN gre ser 
ARMEEVOISIN hol bel 
ARMEEVOISIN hol kie 
ARMEEVOISIN hol ruh 
ARMEEVOISIN kie ber 
ARMEEVOISIN kie den 
ARMEEVOISIN kie hol 
ARMEEVOISIN kie mun 
ARMEEVOISIN kie ruh 
ARMEEVOISIN lvn mos 
ARMEEVOISIN lvn pru 
ARMEEVOISIN lvn stp 
ARMEEVOISIN lvn war 
ARMEEVOISIN lon wal 
ARMEEVOISIN lon yor 
ARMEEVOISIN lvp cly 
ARMEEVOISIN lvp edi 
ARMEEVOISIN lvp wal 
ARMEEVOISIN lvp yor 
ARMEEVOISIN mar bur 
ARMEEVOISIN mar spa 
ARMEEVOISIN mar gas 
ARMEEVOISIN mar pie 
ARMEEVOISIN mos lvn 
ARMEEVOISIN mos sev 
ARMEEVOISIN mos stp 
ARMEEVOISIN mos ukr 
ARMEEVOISIN mos war 
ARMEEVOISIN mun ber 
ARMEEVOISIN mun boh 
ARMEEVOISIN mun bur 
ARMEEVOISIN mun kie 
ARMEEVOISIN mun ruh 
ARMEEVOISIN mun sil 
ARMEEVOISIN mun TYR 
ARMEEVOISIN naf tun 
ARMEEVOISIN nap apu 
ARMEEVOISIN nap rom 
ARMEEVOISIN nwy fin 
ARMEEVOISIN nwy stp
ARMEEVOISIN nwy swe 
ARMEEVOISIN par bur 
ARMEEVOISIN par bre 
ARMEEVOISIN par gas 
ARMEEVOISIN par pic 
ARMEEVOISIN wal lon 
ARMEEVOISIN wal lvp 
ARMEEVOISIN wal yor 
ARMEEVOISIN pic bel 
ARMEEVOISIN pic bur 
ARMEEVOISIN pic bre 
ARMEEVOISIN pic par 
ARMEEVOISIN pie mar 
ARMEEVOISIN pie tus 
ARMEEVOISIN pie TYR 
ARMEEVOISIN pie ven 
ARMEEVOISIN por spa 
ARMEEVOISIN pru ber 
ARMEEVOISIN pru lvn 
ARMEEVOISIN pru sil 
ARMEEVOISIN pru war 
ARMEEVOISIN rom apu 
ARMEEVOISIN rom nap 
ARMEEVOISIN rom tus 
ARMEEVOISIN rom ven 
ARMEEVOISIN rum bud 
ARMEEVOISIN rum bul 
ARMEEVOISIN rum gal 
ARMEEVOISIN rum sev 
ARMEEVOISIN rum ser 
ARMEEVOISIN rum ukr 
ARMEEVOISIN ruh bel 
ARMEEVOISIN ruh bur 
ARMEEVOISIN ruh hol 
ARMEEVOISIN ruh mun 
ARMEEVOISIN ruh kie
ARMEEVOISIN sev ARM 
ARMEEVOISIN sev mos 
ARMEEVOISIN sev rum 
ARMEEVOISIN sev ukr 
ARMEEVOISIN ser alb 
ARMEEVOISIN ser bud 
ARMEEVOISIN ser bul 
ARMEEVOISIN ser gre 
ARMEEVOISIN ser rum 
ARMEEVOISIN ser tri 
ARMEEVOISIN sil ber 
ARMEEVOISIN sil boh 
ARMEEVOISIN sil gal 
ARMEEVOISIN sil mun 
ARMEEVOISIN sil pru 
ARMEEVOISIN sil war 
ARMEEVOISIN smy ank 
ARMEEVOISIN smy ARM 
ARMEEVOISIN smy con 
ARMEEVOISIN smy syr 
ARMEEVOISIN stp fin 
ARMEEVOISIN stp lvn 
ARMEEVOISIN stp mos 
ARMEEVOISIN stp nwy
ARMEEVOISIN swe den 
ARMEEVOISIN swe fin 
ARMEEVOISIN swe nwy 
ARMEEVOISIN syr ARM 
ARMEEVOISIN syr smy 
ARMEEVOISIN tus pie 
ARMEEVOISIN tus rom 
ARMEEVOISIN tus ven 
ARMEEVOISIN tri alb 
ARMEEVOISIN tri bud 
ARMEEVOISIN tri ser 
ARMEEVOISIN tri TYR 
ARMEEVOISIN tri ven 
ARMEEVOISIN tri vie 
ARMEEVOISIN tun naf 
